pattern,transaction_index,pattern_type
comput block,"[375, 2423, 2544, 3200, 3952]",title
multimedia inform,"[531, 1337, 1954, 3770]",title
java virtual,"[526, 2623, 3978, 3979]",title
deploy system,"[100, 182, 1778, 2268, 2468]",title
rout protocol,"[583, 1104, 2313, 3501]",title
linear time,"[318, 1556, 1560, 3097]",title
use character,"[410, 1850, 2230, 3454, 3574]",title
use depend,"[1504, 2366, 2452, 2563]",title
use intellig,"[1670, 1824, 2033, 2230, 2360, 3030, 3323]",title
use domain,"[1010, 1114, 1776, 2237, 2446]",title
use logic,"[458, 717, 2334, 2678]",title
person use,"[53, 1987, 3313, 3849]",title
network manag,"[1366, 1436, 1437, 2349, 2639, 3197, 3323]",title
maximum graph,"[2294, 3005, 3115, 3994]",title
process descript,"[502, 1656, 2076, 2121]",title
analysi access,"[18, 1503, 2251, 2625]",title
test system,"[498, 515, 2534, 2941, 3139]",title
document use,"[900, 1184, 2438, 3394]",title
side,"[267, 802, 876, 2261, 2411, 2482, 2981]",title
design base,"[443, 629, 984, 1162, 1289]",title
portabl,"[585, 774, 1634, 3177]",title
uniqu,"[2995, 3442, 3686, 3746]",title
simultan,"[370, 1395, 1448, 1955]",title
roadmap,"[1299, 1309, 1310, 1313]",title
profil,"[895, 1208, 1590, 2831]",title
transduc,"[157, 589, 992, 1508]",title
invit,"[464, 989, 1490, 1764]",title
loop,"[501, 591, 781, 1491]",title
deliveri,"[1921, 1930, 3091, 3094]",title
quantiz,"[267, 268, 1199, 2174]",title
chemic,"[2964, 3230, 3699, 3705]",title
wdm,"[343, 1593, 2714, 2721]",title
homomorph,"[422, 1512, 1558, 3388]",title
coupl,"[727, 1227, 1542, 2211, 3434, 3587]",title
wrapper,"[1331, 1717, 1763, 3409]",title
affin,"[895, 3053, 3064, 3346]",title
root,"[155, 2995, 3134, 3995]",title
year,"[3077, 3129, 3472, 3925]",title
emul,"[273, 342, 440, 2231]",title
receiv,"[382, 386, 2595, 2630]",title
phone,"[1079, 3211, 3321, 3333]",title
uniform,"[1368, 1546, 3009, 3549]",title
remov,"[233, 1002, 1550, 3239]",title
virtuellen,"[208, 2618, 2756, 3730]",title
trust,"[2260, 2270, 2487, 3709, 3937]",title
surviv,"[300, 2031, 3843, 3951]",title
ration,"[78, 874, 1802, 2470]",title
provid,"[912, 2509, 2531, 3071]",title
diagnost,"[95, 201, 1281, 2560, 2619]",title
trend,"[191, 906, 3469, 3833]",title
conform,"[2963, 2968, 2969, 3687]",title
crossov,"[1830, 1838, 2132, 3300]",title
causal,"[3351, 3485, 3573, 3888]",title
vote,"[64, 1128, 2723, 3232]",title
design algorithm,"[444, 1670, 3514, 3688]",title
effici queri,"[37, 977, 2023, 2295]",title
unit,"[421, 612, 2851, 2968]",title
router support,"[109, 2211, 2212, 2540]",title
review system,"[2731, 2737, 2738, 2739]",title
templat,"[130, 1930, 3110, 3654]",title
support distribut,"[1488, 1783, 3038, 3857]",title
effici object,"[37, 769, 1109, 3006]",title
method problem,"[489, 491, 834, 1049]",title
warehous,"[796, 1771, 1883, 2477]",title
softwar environ,"[463, 634, 1929, 2429]",title
static analysi,"[130, 239, 772, 2341]",title
structur motion,"[841, 843, 844, 1047]",title
web base,"[87, 294, 1639, 1776, 2521, 2681, 2916]",title
analyz system,"[879, 957, 1375, 3755]",title
multistag network,"[200, 3382, 3498, 3949]",title
cmo,"[242, 448, 1549, 2422]",title
contract,"[230, 908, 939, 2276]",title
quantifi,"[742, 2026, 2623, 3343]",title
possibl,"[557, 2488, 2564, 3884]",title
collis,"[120, 320, 1258, 3231]",title
school,"[2517, 2572, 2909, 2922]",title
persist,"[28, 1413, 1819, 3183]",title
skeleton,"[1020, 1062, 2652, 2692]",title
warp,"[632, 845, 2694, 3449]",title
movement,"[15, 377, 731, 1675]",title
trade,"[152, 675, 786, 1624, 1864, 1914, 2711]",title
reusabl,"[607, 1792, 2115, 2129]",title
phylogeni,"[282, 283, 1389, 2870]",title
robocup,"[1381, 2200, 2202, 2819]",title
contextu,"[138, 156, 793, 993]",title
intension,"[272, 312, 990, 1360]",title
nest,"[636, 2289, 3280, 3402]",title
distribut resourc,"[129, 1339, 1414, 3939]",title
