author,title
"Monique Calisti, Boi Faltings",Agent-Based Negotiations for Multi-provider Interactions.
Sidney Fels,Intimacy and embodiment: implications for art and technology.
Binjia Jiao,Multimedia presentation database system.
"Kyung-Sam Choi, Chi-Hoon Lee, Phill-Kyu Rhee",Document ontology based personalized filtering system (poster session).
"Paulo Nazareno Maia Sampaio, Jean-Pierre Courtiat",A formal approach for the presentation of interactive multimedia documents.
"Jae Chung, Mark Claypool",Dynamic-CBT and ChIPS - router support for improved multimedia performance on the Internet.
"Alok Govil, Suya You, Ulrich Neumann",A video-based augmented reality golf simulator.
"Hari Sundaram, Shih-Fu Chang",Determining computable scenes in films and their structures using audio-visual memory models.
"Serhan Dagtas, Thomas McGee, Mohamed Abdel-Mottaleb",SmartWatch: an automated video event finder.
"R. Chandramouli, Nasir D. Memon",A distributed detection framework for Steganalysis.
"Choon-Bo Shim, Jae-Woo Chang",Spatio-temporal representation and retrieval using moving object's trajectories.
"Frank Nack, Craig A. Lindley",Production and maintenance environments for interactive audio-visual stories.
"Gladimir V. G. Baranoski, Peter Shirley, Jon G. Rokne, Trond Trondsen, Rui Bastos",Simulating the Aurora Borealis.
"Lizhuang Ma, Tony K. Y. Chan, Zhongding Jiang",Interpolating and Approximating Moving Frames Using B-splines.
"Ikuo Harada, Hidenori Sato, Hitoshi Kitazawa",Optimizing Network 3D Data Transmissions for Interactive Applications.
Hans-Peter Seidel,Efficient Processing of Large 3D Meshes.
"Olaf Etzmuß, Bernhard Eberhardt, Michael Hauth, Wolfgang Straßer",Collision Adaptive Particle Systems.
"Jörg Haber, Marc Stamminger, Hans-Peter Seidel",Enhanced Automatic Creation of Multi-Purpose Object Hierarchies.
"Yoshinori Dobashi, Tsuyoshi Yamamoto, Tomoyuki Nishita",Interactive Rendering Method for Displaying Shafts of Light.
"Henry Johan, Yuichi Koiso, Tomoyuki Nishita",Morphing Using Curves and Shape Interpolation Techniques.
"Zina Ben-Miled, Yang Liu, Dave Powers, Omran A. Bukhres, Michael Bem, Robert Jones, Robert J. Oppelt, Samuel Milosevich",Data Access Performance in a Large and Dynamic Pharmaceutical Drug Candidate Database.
"Sathish S. Vadhiyar, Graham E. Fagg, Jack Dongarra",Automatically Tuned Collective Communications.
"Adrian T. Wong, Leonid Oliker, William T. C. Kramer, Teresa L. Kaltz, David H. Bailey",ESP: A System Utilization Benchmark.
"Chu-Sing Yang, Mon-Yen Luo",Realizing Fault Resilience in Web-Server Cluster.
"Greg Humphreys, Ian Buck, Matthew Eldridge, Pat Hanrahan",Distributed Rendering for Scalable Displays.
"Tao Zhao, Vijay Karamcheti",Expressing and Enforcing Distributed Resource Sharing Agreements.
"Kathleen A. Lindlan, Janice E. Cuny, Allen D. Malony, Sameer Shende, Bernd Mohr, Reid Rivenburgh, Craig Rasmussen",A Tool Framework for Static and Dynamic Analysis of Object-Oriented Software with Templates.
"Nawaaz Ahmed, Nikolay Mateev, Keshav Pingali, Paul Stodghill",A Framework for Sparse Matrix Code Synthesis from High-level Specifications.
"Erik Reinhard, Brian E. Smits, Charles D. Hansen",Dynamic Acceleration Structures for Interactive Ray Tracing.
"Thouis R. Jones, Ronald N. Perry",Antialiasing with Line Samples.
"Jan Kautz, Pere-Pau Vázquez, Wolfgang Heidrich, Hans-Peter Seidel",Unified Approach to Prefiltered Environment Maps.
"Dawn Xiaodong Song, David Wagner, Adrian Perrig",Practical Techniques for Searches on Encrypted Data.
Noritaka Osawa,Generation and Evaluation of Glyphs Representing Superclass-Subclass Relationships.
"Joseph J. Pfeiffer Jr., Rick L. Vinyard Jr., Bernardo Margolis","A Common Framework for Input, Processing, and Output in a Rule-Based Visual Language."
"Paolo Bottoni, Gabriele Taentzer, Andy Schürr",Efficient Parsing of Visual Languages Based on Critical Pair Analysis and Contextual Layered Graph Transformation.
"Bernard Champoux, Martin David, Alain Huot",CAILS: A Prototype for a Computer Assisted Iconic Language System.
"Ming Wan, Nan Zhang, Arie E. Kaufman, Huamin Qu",Interactive Stereoscopic Rendering of Voxel-based Terrain.
"Bastian Leibe, Thad Starner, William Ribarsky, Zachary Wartell, David M. Krum, Brad Singletary, Larry F. Hodges",The Perceptive Workbench: Toward Spontaneous and Natural Interaction in Semi-immersive Virtual Environments.
"Koh Kakusho, Jun Kitawaki, Shiro Hagihara, Michihiko Minoh",Adjusting the Difference between 3D Spaces in VR Systems and Human Perception through Object Manipulation.
"Anatole Lécuyer, Sabine Coquillart, Abderrahmane Kheddar, Paul Richard, Philippe Coiffet",Pseudo-Haptic Feedback: Can Isometric Input Devices Simulate Force Feedback?
"Ehud Sharlin, Pablo Figueroa, Mark Green, Benjamin Watson","A Wireless, Inexpensive Optical Tracker for the CAVE(tm)."
"Ching-Rong Lin, R. Bowen Loftin, H. Roice Nelson Jr.",Interaction with Geoscience Data in an Immersive Environment.
"Zen-Chung Shih, Yuh-Sen Jaw, Mei-Ling Hsu",Virtual Roller Coaster.
"Fedor V. Fomin, Dieter Kratsch, Haiko Müller",On the Domination Search Number.
"Andreas Jakoby, Maciej Liskiewicz, Rüdiger Reischuk",The Expressive Power and Complexity of Dynamic Process Graphs.
"Ingo Demgensky, Hartmut Noltemeier, Hans-Christoph Wirth",Optimizing Cost Flows by Modifying Arc Costs and Capacities.
"Axel Buendia, Jean-Claude Heudin",Towards Digital Creatures in Real-Time 3D Games.
Auke Jan Ijspeert,A 3-D Biomechanical Model of the Salamander.
"Bruce Damer, Stuart Gold, Jan de Bruin, Dirk-Jan de Bruin",Conferences and Trade Shows in Inhabited Virtual Worlds: A Case Study of Avatars98 & 99.
"Jianfeng Gao, Kai-Fu Lee",Distribution-Based Pruning of Backoff Language Models.
David Chiang,Statistical Parsing with an Automatically-Extracted Tree Adjoining Grammar.
"Anne N. De Roeck, Waleed Al-Fares",A Morphologically Sensitive Clustering Algorithm for Identifying Arabic Roots.
"Patrick Pantel, Dekang Lin",An Unsupervised Approach to Prepositional Phrase Attachment using Contextually Similar Words.
"Stephan Vogel, Hermann Ney",Translation with Cascaded Finite State Transducers.
"Silviu Cucerzan, David Yarowsky","Language Independent, Minimally Supervised Induction of Lexical Probabilities."
"Kiyotaka Uchimoto, Qing Ma, Masaki Murata, Hiromi Ozaku, Hitoshi Isahara",Named Entity Extraction Based on A Maximum Entropy Model and Transformation Rules.
"Srinivas Bangalore, Owen Rambow",Corpus-Based Lexical Choice in Natural Language Generation.
"Manfred Pinkal, Michael Kohlhase",Feature Logic for Dotted Types: A Formalism for Complex Word Meanings.
"Adam L. Berger, Vibhu O. Mittal",Query-Relevant Summarization using FAQs.
Jim Melton,Database Standards: Silver Bullet or Boat Anchor?
"Ulrich Kortenkamp, Jürgen Richter-Gebert",Decision Complexity in Dynamic Geometry.
"Christoph M. Hoffmann, Bo Yuan",On Spatial Constraint Solving Approaches.
Klemens Böhm,On Extending the XML Engine with Query-Processing Capabilities.
"Bryan Weeks, Mark Bean, Tom Rozylowicz, Chris Ficke",Hardware Performance Simulations of Round 2 Advanced Encryption Standard Algorithms.
"Dennis Wildermuth, Frank E. Schneider",Erzeugung eines gemeinsamen Kooridinatensystems für eine Gruppe von Robotern auf der Basis von Bildverarbeitung.
"Sascha Stoeter, Paul E. Rybski, Maria L. Gini, Dean F. Hougen, Nikolaos Papanikolopoulos",Verteilte Steuerung heterogener Mobiler Roboter.
"Rolf Dieter Schraft, A. Traub, D. John, B. Graf",PolarBug - ein effizierter Algorithmus zur reaktiven Hindernisumfahrung im Dauereinsatz.
"Marek Musial, Uwe Wolfgang Brandenburg, Günter Hommel","MARVINs Sieg im ""Millennial Event"" - Erfolg durch minimale Lösungen."
"Jordi Cortadella, Michael Kishinevsky, Alex Kondratyev, Luciano Lavagno, Alexandre Yakovlev",Hardware and Petri Nets: Application to Asynchronous Circuit Design.
Karsten Schmidt,LoLA: A Low Level Analyser.
"Ph. Schnoebelen, Natalia Sidorova",Bisimulation and the Reduction of Petri Nets.
"Z. Zhou, H. Liu, S. Li",Rule Mining via Learning Belief Networks.
Stamos T. Karamouzis,Using Analogues to Predict Student's Performance.
"David W. Opitz, Subhash C. Basak, G. Prabu, Denise Mills",Hazard Assessment Modeling: A Hierarchical QSAR Approach.
"A. B. Hassan, D. T. Pham",Genetic Algorithm Approach for the Allocation of Inspection Stations.
"Mircea Ivanescu, M. Vinatoru, Viorel Stoian, E. Iancu",Robotic Arm Control in Fault Conditions.
"E. Zivi, J. Cerrito, D. Doney",Neural Network Fault Tolerant Estimation of an Integrated Power System.
"Yoonha H. Kim, D. S. Lee, M. G. Joo, T. Kang, K. N. Paek",POSCO's Twin-Roll Strip Caster and its Control.
"Ly Fie Sugianto, D. Elliott",Deploying E-Commerce Enabling Technology using an Advisory System.
"Daniel Pless, George F. Luger, Carl R. Stern",A New Object-Oriented Stochastic Modeling Language.
"Hitoshi Katayama, Akira Ichikawa",H Control for Fuzzy Systems with Uncertainty.
"P. Gil, J. Henriques, A. Dourado, H. Duarte-Ramos",Extended Neural Model Predictive Control of Non-Linear Systems.
"Y. Chung, J. Park, Hyuk-Chul Kwon, Ae-sun Yoon",An Improved Korean Morphological Analyzer.
Natarajan Shankar,Symbolic Analysis of Transition Systems.
Matthias Anlauff,"XASM - An Extensible, Component-Based ASM Language."
"Xiaowei Li, Toshimitsu Masuzawa, Hideo Fujiwara",Strong self-testability for data paths high-level synthesis.
"Masayuki Hirayama, Jiro Okayasu, Tetsuya Yamamoto, Osamu Mizuno, Tohru Kikuno",Generating test items for checking illegal behaviors in software testing.
Wu-Tung Cheng,Current status and future trend on CAD tools for VLSI testing Wu-Tung Cheng.
"Chin-Te Kao, Sam Wu, Jwu E. Chen",A case study of failure analysis and guardband determination for a 64M-bit DRAM.
"Yea-Ling Horng, Jing-Reng Huang, Tsin-Yuan Chang",A realistic fault model for flash memories.
"Jing-Reng Huang, Chee-Kian Ong, Kwang-Ting Cheng, Cheng-Wen Wu",An FPGA-based re-configurable functional tester for memory chips.
"Wei-Yu Chen, Sandeep K. Gupta, Melvin A. Breuer",Test generation for crosstalk-induced faults: framework and computational result.
"Chih-Wea Wang, Chi-Feng Wu, Jin-Fu Li, Cheng-Wen Wu, Tony Teng, Kevin Chiu, Hsiao-Ping Lin",A built-in self-test and self-diagnosis scheme for embedded SRAM.
"Gloria Huertas, Diego Vazquez, Eduardo J. Peralías, Adoración Rueda, José L. Huertas",Testing mixed-signal cores: practical oscillation-based test in an analog macrocell.
"Jun-Weir Lin, Chung-Len Lee, Chau Chin Su, Jwu-E. Che",Fault diagnosis for linear analog circuits.
"Junichi Hirase, Shinichi Yoshimura",Faster processing for microprocessor functional ATPG.
"Naotake Kamiura, Takashi Kodera, Nobuyuki Matsui",Fault tolerant multistage interconnection networks with widely dispersed paths.
"D. C. Huang, W. B. Jone",An efficient parallel transparent diagnostic BIST.
"Masaki Hashizume, Hiroyuki Yotsuyanagi, Masahiro Ichimiya, Takeomi Tamesada, Masashi Takeda",High speed IDDQ test and its testability for process variation.
"Tsin-Yuan Chang, Yervant Zorian",SoC Testing and P1500 Standard.
"Kenji Miyamoto, Yasunori Harada, Richard Potter",KVispatch: A Visual Language that Rewrites Kinematic Objects in Animation.
"Michel Beaudouin-Lafon, Wendy E. Mackay","Reification, Polymorphism and Reuse: Three Principles for Designing Visual Interfaces."
"Michelle Q. Wang Baldonado, Allison Woodruff, Allan Kuchinsky",Guidelines for Using Multiple Views in Information Visualization.
"Martin Graham, Jessie B. Kennedy, Chris Hand",A Comparision of Set-Based and Graph-Based Visualisations of Overlapping Classification Hierarchies.
"Uwe von Lukas, Andreas Mähler, Ekkehard Scheinhof",Kommunikation und Kooperation in der integrierten virtuellen Produktentstehung.
"Rainer Koch, Marc Wick",Virtual Reality zur Visualisierung physikalischer Zusammenhänge - Systeme zur Auslegung und Optimierung komplexer Produkte.
"Reiner Anderl, Robert Gräb",Parametrik in der Integration von CAD-Systemen und mechatronischen Entwurfswerkzeugen.
"C. R. Ramakrishnan, I. V. Ramakrishnan, Scott A. Smolka, Yifei Dong, Xiaoqun Du, Abhik Roychoudhury, V. N. Venkatakrishnan",XMC: A Logic-Programming-Based Verification Toolset.
"Rajeev Alur, Radu Grosu, M. McDougall",Efficient Reachability Analysis of Hierarchical Reactive Machines.
"Luca de Alfaro, Thomas A. Henzinger, Freddy Y. C. Mang",Detecting Errors Before Reaching Them.
"Kedar S. Namjoshi, Robert P. Kurshan",Syntactic Program Transformations for Automatic Abstraction.
Marko Krznaric,Computing a Required Absolute Precision from a Stream of Linear Fractional Transformations.
Dimiter Skordev,Characterization of the Computable Real Numbers by Means of Primitive Recursive Functions.
"Marc Gyssens, Luc Vandeurzen, Dirk Van Gucht",Linear-Constraint Databases.
"Stéphane Grumbach, Gabriel M. Kuper, Jianwen Su",Expressive Power: The Infinite Case.
Vijay Varadharajan,Security enhanced mobile agents.
Jörg Desel,Validation of Process Models by Construction of Process Nets.
"Clarence A. Ellis, Karim Keddara",A Workflow Change Is a Workflow.
"Kenji Ohmori, Tosiyasu L. Kunii",A Homotopy Model for Cup Lifting.
"Nikos Grammalidis, Michael G. Strintzis",Head Detection and Tracking by 2-D and 3-D Ellipsoid Fitting.
"Nicholas M. Patrikalakis, Stephen L. Abrams, J. G. Bellingham, W. Cho, K. P. Mihanetzis, Allan R. Robinson, Henrik Schmidt, Pubudu C. H. Wariyapola",The Digital Ocean.
"Brad A. Myers, Kin Pou Lie, Bo-Chieh Yang",Two-handed input using a PDA and a mouse.
"Hideki Koike, Yoichi Sato, Yoshinori Kobayashi, Hiroaki Tobita, Motoki Kobayashi",Interactive textbook and interactive Venn diagram: natural and intuitive interfaces on augmented desk system.
Olle Bälter,Keystroke level analysis of email message organization.
"Barry A. T. Brown, Abigail Sellen, Kenton O'Hara",A diary study of information capture in working life.
"John S. Boreczky, Andreas Girgensohn, Gene Golovchinsky, Shingo Uchihashi",An interactive comic book presentation for exploring video.
"Felix Brandt, Wilfried Brauer, Gerhard Weiß",Task Assignment in Multiagent Systems Based on Vickrey-Type Auctioning and Leveled Commitment Contracting.
"Wai Yat Wong, Dong Mei Zhang, Mustapha Kara-Ali",Towards an Experience-Based Negotiation Agent.
"Giacomo Cabri, Letizia Leonardi, Franco Zambonelli",Auction-Based Agent Negotiation via Programmable Tuple Spaces.
"David Blaauw, Rajendran Panda, Abhijit Das",Removing user specified false paths from timing graphs.
"Richard Goering, Clifford E. Cummings, Steven E. Schulz, Simon Davidman, John Sanguinetti, Joachim Kunkel, Oz Levia",The future of system design languages (panel session).
"Seongsoo Lee, Takayasu Sakurai",Run-time voltage hopping for low-power real-time systems.
"Jennifer Smith, Tom Quan, Andrew B. Kahng",EDA meets.COM (panel session): how E-services will change the EDA business model.
"John Lach, William H. Mangione-Smith, Miodrag Potkonjak","Efficient error detection, localization, and correction for FPGA-based debugging."
"Naji Ghazal, A. Richard Newton, Jan M. Rabaey",Predicting performance potential of modern DSPs.
"Kenneth L. Shepard, Dae-Jin Kim",Static noise analysis for digital integrated circuits in partially-depleted silicon-on-insulator technology.
"Athanassios Boulis, Mani B. Srivastava",System design of 
"Alan J. Drake, Todd D. Basso, Spencer M. Gold, Keith L. Kraver, Phiroze N. Parakh, Claude R. Gauthier, P. Sean Stetson, Richard B. Brown",CGaAs PowerPC FXU.
"Rob A. Rutenbar, Cheming Hu, Mark Horowitz, Stephen Y. Chow",Life at the end of CMOS scaling (and beyond) (panel session) (abstract only).
"Min Zhao, Rajendran Panda, Sachin S. Sapatnekar, Tim Edwards, Rajat Chaudhry, David Blaauw",Hierarchical analysis of power distribution networks.
"Ki-Wook Kim, Unni Narayanan, Sung-Mo Kang",Domino logic synthesis minimizing crosstalk.
"E. A. de Kock, W. J. M. Smits, Pieter van der Wolf, Jean-Yves Brunel, W. M. Kruijtzer, Paul Lieverse, Kees A. Vissers, G. Essink",YAPI: application modeling for signal processing systems.
Stephen A. Edwards,Compiling Esterel into sequential code.
"Clayton B. McDonald, Randal E. Bryant",Symbolic timing simulation using cluster scheduling.
"Daniel Foty, David Binkley",MOSFET modeling and circuit design: re-establishing a lost connection (tutorial).
"Rafi Levy, David Blaauw, Gabi Braca, Aurobindo Dasgupta, Amir Grinshpon, Chanhee Oh, Boaz Orshav, Supamas Sirichotiyakul, Vladimir Zolotov",ClariNet: a noise analysis tool for deep submicron design.
Greg P. Schulz,"Introducing Storage Networks (NAS, SAN, Fibre Channel and Beyond)."
William T. Gray,A Theory of Latent Demand.
Pierre M. Fiorini,Voice Over IP (VoIP) for Enterprise Networks: Performance Implications and Solutions.
Edward A. Woods,DB2 Application Trace Analysis: Asking The Right Questions.
George I. Thompson,Six Levels of Sophistication for Capacity Management.
"Connie U. Smith, Lloyd G. Williams",Building Responsive and Scalable Web Applications.
"Craig D. Hanson, Pat V. Crain",Building or Buying a Scalable Software System - A Handbook.
"Michael Zaslavsky, Alex Kvitko",Evaluating Relative Processors Performance Using Real Life Workloads.
Alan M. Sherkow,Update on LPAR and Parallel Sysplex Capacity Planning.
Tim Foxon,Performance Management and Capacity Planning for Microsoft SQL Server.
Charles T. McGavin Jr.,A SAN Is Born - An Installation Experience.
"Suguru Itagaki, Hidetoshi Yokoo",PPM*-Style Context Sorting Compression Method Using a Prefix List.
"Lionel Guivarch, Jean-Claude Carlach, Pierre Siohan",Joint Source-Channel Soft Decoding of Huffman Codes with Turbo-Codes.
"Dmitriy V. Shlepakov, Leonard N. Shlepakov",On Zonal Morphological Approach to Natural Language Texts Processing.
Wee Sun Lee,"Trees, Windows, and Tiles for Wavelet Image Compression."
